image,mean_err_px,median_err_px,rmse_err_px,min_err_px,max_err_px,max_err_joint,csv,json,overlay
sample_0030_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000026.jpg,1.2903174087,0.7301607406,1.9831624507,0.1144167794,6.0404130917,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0030_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000026_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0030_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000026_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0030_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000026_mano_vs_gt.jpg
sample_0031_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000059.jpg,1.1708232209,0.5792237200,1.9263378060,0.2416921086,5.9319482449,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0031_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000059_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0031_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000059_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0031_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000059_mano_vs_gt.jpg
sample_0032_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000093.jpg,1.2428202341,0.7598000613,1.7453295479,0.3902513305,4.7738146197,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0032_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000093_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0032_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000093_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0032_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000093_mano_vs_gt.jpg
sample_0033_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000127.jpg,1.1255459954,0.7540107944,1.6407824146,0.1160305183,4.6822513505,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0033_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000127_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0033_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000127_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0033_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000127_mano_vs_gt.jpg
sample_0034_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000178.jpg,1.3394554664,0.8403690245,1.9579333007,0.1714725366,5.8490624261,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0034_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000178_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0034_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000178_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0034_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000178_mano_vs_gt.jpg
sample_0035_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000032.jpg,1.1558809394,0.8434857984,1.5815534327,0.1881875014,3.7368893067,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0035_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000032_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0035_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000032_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0035_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000032_mano_vs_gt.jpg
sample_0036_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000064.jpg,1.1403550763,0.6097008388,1.7318705786,0.2306135055,4.5094086366,12,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0036_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000064_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0036_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000064_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0036_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000064_mano_vs_gt.jpg
sample_0037_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000096.jpg,1.3054636347,0.8035153020,1.9368780323,0.0873130372,5.1896486253,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0037_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000096_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0037_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000096_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0037_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000096_mano_vs_gt.jpg
sample_0038_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000128.jpg,1.1151845960,0.7037014366,1.6926752737,0.1046437435,4.9978699577,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0038_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000128_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0038_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000128_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0038_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000128_mano_vs_gt.jpg
sample_0039_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000183.jpg,1.2665818221,0.8285791832,1.8134636514,0.2442658245,5.7479394893,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0039_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000183_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0039_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000183_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0039_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000183_mano_vs_gt.jpg
